"id","type","category","survey_type"
"turism_category_1","Hoteles","H1","hotel"
"turism_category_2","Hoteles","H2","hotel"
"turism_category_3","Hoteles","H3","hotel"
"turism_category_4","Hoteles","H4","hotel"
"turism_category_5","Hoteles","H5","hotel"
"turism_category_6","Hoteles-apartamentos","AP","hotel"
"turism_category_7","Hoteles-apartamentos","HA","hotel"
"turism_category_8","Hoteles-apartamentos","HA1","hotel"
"turism_category_9","Hoteles-apartamentos","HA2","hotel"
"turism_category_10","Hoteles-apartamentos","HA3","hotel"
"turism_category_11","Hoteles-apartamentos","HA4","hotel"
"turism_category_12","Hoteles-apartamentos","HA5","hotel"
"turism_category_13","Hoteles-residencias","HR","hotel"
"turism_category_14","Hoteles-residencias","HR1","hotel"
"turism_category_15","Hoteles-residencias","HR2","hotel"
"turism_category_16","Hoteles-residencias","HR3","hotel"
"turism_category_17","Hoteles-residencias","HR4","hotel"
"turism_category_18","Hoteles-residencias","HR5","hotel"
"turism_category_19","Moteles","M1","hotel"
"turism_category_20","Moteles","M2","hotel"
"turism_category_21","Moteles","M3","hotel"
"turism_category_22","Paradores Nacionales","PN3","hotel"
"turism_category_23","Paradores Nacionales","PN4","hotel"
"turism_category_24","Paradores Nacionales","PN5","hotel"
"turism_category_25","Ciudades de vacaciones","CV1","hotel"
"turism_category_26","Ciudades de vacaciones","CV2","hotel"
"turism_category_27","Ciudades de vacaciones","CV3","hotel"
"turism_category_28","Residencias-apartamentos","RA1","hotel"
"turism_category_29","Residencias-apartamentos","RA2","hotel"
"turism_category_30","Residencias-apartamentos","RA3","hotel"
"turism_category_31","Residencias-apartamentos","RA4","hotel"
"turism_category_32","Hostales","HS","hotel"
"turism_category_33","Hostales","HS1","hotel"
"turism_category_34","Hostales","HS2","hotel"
"turism_category_35","Hostales","HS3","hotel"
"turism_category_36","Hostales","HSR","hotel"
"turism_category_37","Hostales","HSR1","hotel"
"turism_category_38","Hostales","HSR2","hotel"
"turism_category_39","Hostales","HSR3","hotel"
"turism_category_40","Hostales generales","HSE","hotel"
"turism_category_41","Casas de Huéspedes","CH","hotel"
"turism_category_42","Casas de Huéspedes","CH1","hotel"
"turism_category_43","Fondas","F1","hotel"
"turism_category_44","Fondas","F2","hotel"
"turism_category_45","Fondas","F3","hotel"
"turism_category_46","Pensiones","P","hotel"
"turism_category_47","Pensiones","P1","hotel"
"turism_category_48","Pensiones","P2","hotel"
"turism_category_49","Pensiones","P3","hotel"
"turism_category_50","Pensiones","PA","hotel"
"turism_category_51","Pensiones","PT","hotel"
"turism_category_52","Otros","Otras","hotel"
"turism_category_53","Apartamentos turísticos","0","apartments"
"turism_category_54","Apartamentos turísticos","1","apartments"
"turism_category_55","Apartamentos turísticos","2","apartments"
"turism_category_56","Apartamentos turísticos","3","apartments"
"turism_category_57","Apartamentos turísticos","4","apartments"
