"id","ine_code","ine_tourism_province_name"
base.state_es_c,"ES111","A CORUÑA"
base.state_es_vi,"ES211","ARABA/ALAVA"
base.state_es_ab,"ES421","ALBACETE"
base.state_es_a,"ES521","ALICANTE"
base.state_es_al,"ES611","ALMERIA"
base.state_es_o,"ES120","ASTURIAS"
base.state_es_av,"ES411","AVILA"
base.state_es_ba,"ES431","BADAJOZ"
base.state_es_pm,"ES530","BALEARES"
base.state_es_b,"ES511","BARCELONA"
base.state_es_bu,"ES412","BURGOS"
base.state_es_cc,"ES432","CACERES"
base.state_es_ca,"ES612","CADIZ"
base.state_es_s,"ES130","CANTABRIA"
base.state_es_cs,"ES522","CASTELLON"
base.state_es_ce,"ES630","CEUTA"
base.state_es_cr,"ES422","CIUDAD REAL"
base.state_es_co,"ES613","CORDOBA"
base.state_es_cu,"ES423","CUENCA"
base.state_es_gi,"ES512","GIRONA"
base.state_es_gr,"ES614","GRANADA"
base.state_es_gu,"ES424","GUADALAJARA"
base.state_es_ss,"ES212","GUIPUZKOA"
base.state_es_h,"ES615","HUELVA"
base.state_es_hu,"ES241","HUESCA"
base.state_es_j,"ES616","JAEN"
base.state_es_lo,"ES230","LA RIOJA"
base.state_es_gc,"ES701","LAS PALMAS"
base.state_es_le,"ES413","LEON"
base.state_es_l,"ES513","LLEIDA"
base.state_es_lu,"ES112","LUGO"
base.state_es_m,"ES300","MADRID"
base.state_es_ma,"ES617","MALAGA"
base.state_es_ml,"ES640","MELILLA"
base.state_es_mu,"ES620","MURCIA"
base.state_es_na,"ES220","NAVARRA"
base.state_es_or,"ES113","OURENSE"
base.state_es_p,"ES414","PALENCIA"
base.state_es_po,"ES114","PONTEVEDRA"
base.state_es_sa,"ES415","SALAMANCA"
base.state_es_tf,"ES702","TENERIFE"
base.state_es_sg,"ES416","SEGOVIA"
base.state_es_se,"ES618","SEVILLA"
base.state_es_so,"ES417","SORIA"
base.state_es_t,"ES514","TARRAGONA"
base.state_es_te,"ES242","TERUEL"
base.state_es_to,"ES425","TOLEDO"
base.state_es_v,"ES523","VALENCIA"
base.state_es_va,"ES418","VALLADOLID"
base.state_es_bi,"ES213","VIZCAYA"
base.state_es_za,"ES419","ZAMORA"
base.state_es_z,"ES243","ZARAGOZA"
